clip	ending0	ending1	ending2	ending3	ending4	label
video9770	the boy is trying to fix the problem	the boy is trying to exacerbate the problem	two men on wave runner in ocean rescuing a surfer	asian man discusses technology in the younger generations	a group is dancing	0
video9771	a woman is putting items into a miniature toy oven	a child is running around on a mat	a woman pushing a stroller	a child is rolling around on a mat	a game show host hosting a game	1
video7020	a person solving the rubik s cube	halo warriors music video	people are playingg match	a woman wraps a baby doll in some fake leaves	a woman washes a baby doll with some fake leaves	3
video9773	an advertisement for a driving video game	a group of people on stage on the voice	an advertisement for a monochrome video game	people on a video laughing	a person is playing a video game	0
video7026	a rock band preforming a song	the announcer talks about the interior features of a car	many women are walking on a runway in brown and red dresses	a man carries a green block	the announcer reads about the interior features of a car	1
video9775	kids bounce a ball and talk to a man	men in suits on a tv show talk about news of the day	young girl is dancing	in a cartoon television show the characters are dancing around	kids ask questions and talk to a man	4
video7025	a boy running is running without dress	a boy is sitting down on the grass	spanish cooking hosts converse	a live performance by a musical group	a man talks about the mirror test and scientific theory	0
video9778	a comic about a young girl with super powers	a young boy speaks to the judges on the tv show the voice	scene from a kids tv show	there is a black car moving without control	a young boy sings to the judges on the tv show the voice	1
video7028	the animated duck runs around with his two friends and meets a beautiful woman	a boy band sings and dances in front of a chinese pagoda	there is a man talking about a historic person	a boy band yells and dances in front of a chinese pagoda	a woman dressed in purple top and skirts is holding onto a pole	1
video7021	a baseball batter throws the ball to the fence and a outfielder goes after it	a baseball batter hits the ball to the fence and a outfielder goes after it	some people driving a jeep	a person is cooking cheese bacon burgers in the grill	a video segment gives tips on maintaining a car	1
video9774	a toy rocket is launched into the sky over a forest and leaves a vapor trail	a person is standing on the railing of the roof of a building	a woman is explaining how to cook	a woman is frying food on the stove	a toy rocket is launched into the sky over a forest and catches a vapor trail	0
video7027	men and child playing with a toy	someone is begining to watch a movie on their flat screen televsion at home	a man is playing violin	someone is beginning to listen to music on their flat screen television at home	a man is punching a punching bag	1
video9731	a woman is throwing food in a mixing bowl	a woman is mixing food in a mixing bowl	he was in the kitchen	a man is discussing owning a pet	a band performing live music in a studio	1
video7024	a man dressed in forest camouflage riding through the forest on an atv	two women hold hands	a girl with black curly hair and a british accent talking about a yellow green shirt she can wear on holiday	a toy cat is bathing in soapy water in a toy bathtub	a toy cat is drowning in soapy water in a toy bathtub	3
video9777	some people are talking about sputnik at a convention	children explaining a nursery rhyme	a teenage girl lays in bed and knocks on the wall	a women with white dress sharing her views in front of the camera	children singing a nursery rhyme	4
video8913	a car flipping over	a vine sports video that plays calm music and features several different sports	two men are giving an introduction	a british documentary with a polar bear and commentator with sled dogs barking	a vine sports video that change music quickly and features several different sports	4
video8912	a dog is sitting	a cartoon involving animals	a beautiful woman is talking to a fat man in a restaurant	a beautiful woman is singing to a fat man in a restaurant	a woman gives a cooking tutotial on baking chicken	2
video8910	a group of girls are talking about colors	Creating classical art with food	there is a lady is sitting before the food sandwich	there is a man in black dressing talking in front of a monitor	adding ingredients to a pizza	4
video8917	a machine cutting a tube and shaping it	a car is being flipped down the hill	two men are writing a book on politics and news	two men are discussing politics and news	a person is showing an engine	3
video8915	a loaf of bread used in prison is shown	a person is explaining something	a comical commercial for an energy drink	a person is eating	a person is cooking	4
video8914	fashion models skip down a runway	people are riding on a boat and talking to each other	a cartoon elephant and lion hold subscribe and play buttons in their mouths as they dance	music plays as a country skyline can be seen and a train goes down a track	fashion models walk down a runway	4
video8919	plants in decorative ways inside of a house living space	a man on a game show makes judges cry	a man bowls in a competition	a man is trying to open a box with tools	a man on a game show makes judges laugh	4
