clip	ending0	ending1	ending2	ending3	ending4	label
video9770	a group is dancing	a boy explaining how to plug something into his computer	a boy explaining how to edit something into his computer	asian man discusses technology in the younger generations	two men on wave runner in ocean rescuing a surfer	1
video9771	a woman is putting items into a miniature toy oven	a woman pushing a stroller	a child is laying around on a mat	a child is running around on a mat	a game show host hosting a game	3
video7020	halo warriors music video	a person is preparing some art	a person solving the rubik s cube	people are playingg match	a person is displaying some art	1
video9773	a man sings a clip from grand theft auto	a person is playing a video game	a man analyzing a clip from grand theft auto	people on a video laughing	a group of people on stage on the voice	2
video7026	a man works on a vehicle	a man reviews a vehicle	many women are walking on a runway in brown and red dresses	a man carries a green block	a rock band preforming a song	1
video9775	in a cartoon television show the characters are dancing around	young girl is dancing	kids are watching a person	men in suits on a tv show talk about news of the day	kids are interacting with a person	4
video7025	a live performance by a musical group	a child is running naked across the grass	spanish cooking hosts converse	a man talks about the mirror test and scientific theory	a child is lying naked across the grass	1
video9778	there is a black car moving without control	a judge is laughing at a little boy	scene from a kids tv show	a judge is judging a little boy	a comic about a young girl with super powers	3
video7028	the backstreet boys sing in front of a japanese pagoda and in a restaurant	the backstreet boys met in front of a japanese pagoda and in a restaurant	the animated duck runs around with his two friends and meets a beautiful woman	a woman dressed in purple top and skirts is holding onto a pole	there is a man talking about a historic person	0
video7021	a video segment gives tips on maintaining a car	a person is cooking cheese bacon burgers in the grill	a batter bowling a ball and players on a field	a batter hitting a ball and players on a field	some people driving a jeep	3
video9774	a woman is frying food on the stove	a toy rocket is launched into the sky over a forest and enters a vapor trail	a person is standing on the railing of the roof of a building	a woman is explaining how to cook	a toy rocket is launched into the sky over a forest and leaves a vapor trail	4
video7027	a screen with a man is sitting on a bench in a glimpse	a man is playing violin	a man is punching a punching bag	a screen with a man is standing on a bench in a glimpse	men and child playing with a toy	0
video9731	bbc woman in red smock hitting batter	a band performing live music in a studio	bbc woman in red smock stirring up batter	he was in the kitchen	a man is discussing owning a pet	2
video7024	a girl with black curly hair and a british accent talking about a yellow green shirt she can wear on holiday	someone swimming with a toy cat in a water tub	someone cleaning a toy cat in a water tub	a man dressed in forest camouflage riding through the forest on an atv	two women hold hands	2
video9777	a women with white dress sharing her views in front of the camera	cartoon kids learn in a foreign language	some people are talking about sputnik at a convention	cartoon kids sing in a foreign language	a teenage girl lays in bed and knocks on the wall	3
video8913	athletes are playing baseball and football	a car flipping over	a british documentary with a polar bear and commentator with sled dogs barking	two men are giving an introduction	athletes are racing in baseball and football	0
video8912	a dog is sitting	a woman gives a cooking tutotial on baking chicken	a cartoon involving animals	an arabic woman sits at a table with a man	an arabic woman drinks at a table with a man	3
video8910	there is a man in black dressing talking in front of a monitor	a group of girls are talking about colors	there is a lady is sitting before the food sandwich	a person is eating food	a person is cooking food	4
video8917	a tv show with people standing on money chairs	a machine cutting a tube and shaping it	a tv show with people sitting on money chairs	a car is being flipped down the hill	a person is showing an engine	2
video8915	a person is explaining something	a person is cooking	a person is driving	a comical commercial for an energy drink	a loaf of bread used in prison is shown	1
video8914	a cartoon elephant and lion hold subscribe and play buttons in their mouths as they dance	a group of people are on a stage while others walk down a runway	people are riding on a boat and talking to each other	a group of people are on a stage while others ride down a runway	music plays as a country skyline can be seen and a train goes down a track	1
video8919	plants in decorative ways inside of a house living space	a man is performing while people laugh	a man is performing while people watch	a man is trying to open a box with tools	a man bowls in a competition	1
video8918	a man styles another man s hair	a man cutting another man s hair	a woman is showing how to fold up a baby stroller	a woman is trying to break a chair	there is a man swimming in a pool	1
video9545	a woman is explaining something	a clip from the movie inglorious bastards and people are dancing in the background	a chef is talking in a tv show	a clip from the movie inglorious bastards and people are laughing in the background	the bike rider bike is pull in two men at the track on reversely	3
video7704	a closeup of the blemishes on a man s face	a woman stirs a skillet full of cooking veggies	minecraft characters running in a room	a lady walks the catwalk	a closeup of the blemishes on a man s dress	0
video7118	a girl is knocking on the wall	animated video of disney princesses dancing with barbie	sandra smith in a blue dress and ed henry in a red tie sitting next to each other	a girl is hanging on the wall	sad music plays over the final dramatic moments of a television game show	0
video7116	a woman cooks food while a man sets up food on a table	showing an image of a celebrity on a monitor	a group of people outside walking that appear to be muslim	a group of people outside singing that appear to be muslim	minecraft characters are riding on horses	2
video7117	a group dancing together	a man is jumping from a height building	wrestlers and a referee walk on to a wrestling area	a group performing together	a woman talking about a broccoli cheese soup recipe	0
video7114	a man and woman are seriously discussing about something	two men talking about a woman	a man narrates his minecraft gameplay	a man and woman are seriously laughing about something	a man is playing a violin very well	0
video7115	a woman in a dress walking and finding a purple rose while a song plays in the background	a man in a showroom standing in front of a black suv	a man in a showroom sitting in front of a black suv	a person explaining how to prepare chicken fry	a man dances in front of his house	1
video7112	the childs assembles the toy	horror ghost movie scene	there is a man in black is running with a ball	there is a man in black is throwing a ball	the dog logo for the zynga company is being shown	3
video7113	there is a dove sitting inside the house	a parade is brought to a standstill for a little while then continues	video game character rides a motorcycle	clips from a tv show are playing	there is a dove moving in the house	0
video7110	a lady with red tops with a cat in her hand and a lady with pink top sitting on the couch	there is a man   meeting  other people in a corridor	there is a man  shooting  other people in a corridor	a gentlemen with brown hair and a plaid shirt stands in his kitchen holding an orange blended beverage	a person is mixing ingredients in a bowl	2
video9542	a beautiful princes walking like a doll	a football player jumps over another player	an old man is interviewed near a river	the hockey player scored a goal	a football player tackles another player	1
video9679	a man holds boxes with computer parts in them	session is started by holding hand in front of a start sensor and place eye wear	a man discusses boxes with computer parts in them	a man is giving a silent tutorial on hyper threading	a man showing the seats in a car	2
video8464	lots of people are shopping on the award show on cnn tv	two girls speak to some	a girl sitting and speaking news and paper in hand and still image of ship picture on screen displaying	a cook explains the mixture of onion and lean meat with tomatoes to prepare a burger filling	lots of people are claping on the award show on cnn tv	4
video7701	a kid plays with a toy dump drunk filled with christmas ornaments	two women holding hands on a tv show	police officer is talking to civilian	a bus covered in letters is driving around	a bus covered in letters is pulling up	3
video8899	a man folding up and making a paper airplane	people are dancing	a woman is explaining how to do something on a computer	a woman voices over a discussion of the late show	people are shopping	4
video8895	a boy an a girl are playing on a beach	a boy an a girl are singing by a beach	swimming instructor talking about how to swim	a women is smiling and telling something	a woman reading off nominees for an award	1
video7431	wrestler tangled in the ropes at a wwe match	a woman is chased by a masked man	a man discusses a nasa operation in 1965	people sitting and dancing in unison	a man sings a nasa operation in 1965	2
video9549	a replay of a soccer game clips	a person is creating graphics on a computer via an application	3d animated characters dance to children song	a woman is holding a gun	a person is checking graphics on a computer via an application	1
video8829	a man interviews another man in an office	a man crying to another man in an office	three persons doing conversation about something in a happy mood	guy recording video of his baby trying to get the baby to say dada	kids drink a nutritious juice	1
video8828	a man is listening to headphones and singing	a scene from sponge bob with squidward standing at the register and talking to a fish	members of a cricket team watch something off screen then and applaud and laugh	two people are discussing a topic on the screen	two people are singing about a topic on the screen	3
video8826	a woman talks about a movie starring debra burns	a woman is talking about a man	a woman talks about a movie starring debra messing	a man uses tiny utensils	spiderman holding an injured woman	2
